,model_number,sample_type,metric_type,score
570,71,train,recall,0.9674181818181818
571,71,train,f1_score,0.8259375776140409
572,71,validate,f1_score,0.8198763762796987
573,71,validate,accuracy,0.7095467995639309
574,71,validate,precision,0.715104035043383
575,71,validate,recall,0.9606201199502094
576,72,train,accuracy,0.7224910723225311
577,72,train,precision,0.723801905315977
578,72,train,recall,0.965139393939394
579,72,train,f1_score,0.8272279593575332
580,72,validate,f1_score,0.819136071203986
581,72,validate,accuracy,0.7088459741473291
582,72,validate,precision,0.7153599188915174
583,72,validate,recall,0.9581305873033835
584,73,train,accuracy,0.7033341120715549
585,73,train,precision,0.7026243093922652
586,73,train,recall,0.986569696969697
587,73,train,f1_score,0.8207320762327317
588,73,validate,f1_score,0.8200498424789581
589,73,validate,accuracy,0.7019934589627784
590,73,validate,precision,0.7015285599356396
591,73,validate,recall,0.9867602127418807
592,74,train,accuracy,0.7048693388512499
593,74,train,precision,0.7056195462478185
594,74,train,recall,0.980169696969697
595,74,train,f1_score,0.8205377980720446
596,74,validate,f1_score,0.8187195381630625
597,74,validate,accuracy,0.7016819809998442
598,74,validate,precision,0.7035621340273259
599,74,validate,recall,0.978952133076836
600,75,train,accuracy,0.7100757601041284
601,75,train,precision,0.7166920787047121
602,75,train,recall,0.9571878787878788
603,75,train,f1_score,0.8196632828880447
604,75,validate,f1_score,0.8188244407862884
605,75,validate,accuracy,0.7086123656751285
606,75,validate,precision,0.7155792502327156
607,75,validate,recall,0.9568858209799705
608,76,train,accuracy,0.7130127156826753
609,76,train,precision,0.7132269503546099
610,76,train,recall,0.9751757575757576
611,76,train,f1_score,0.8238812083973374
612,76,validate,f1_score,0.8223112892451571
613,76,validate,accuracy,0.7100140165083321
614,76,validate,precision,0.7109149410114677
615,76,validate,recall,0.9751046735317416
616,77,train,accuracy,0.7140139505389981
617,77,train,precision,0.713652796484015
618,77,train,recall,0.9762424242424242
619,77,train,f1_score,0.8245459571244292
620,77,validate,f1_score,0.8209211404596167
621,77,validate,accuracy,0.7075221928048591
622,77,validate,precision,0.7093186125072094
623,77,validate,recall,0.9741993889328958
624,78,train,accuracy,0.7187531288589261
625,78,train,precision,0.719562243502052
